-1 8 8 128 64 1000 3.000000 3 3 7990.487891 50 15950 uniform_rand 1.000000 5.342313 0
-2 0 0 
6 2 3 5287
1 3 3 8945
4 2 3 7455
5 7 3 7473
7 4 3 6848
0 1 3 9164
7 7 3 7879
6 0 3 8157
7 5 3 9587
7 5 3 9005
1 3 3 9073
6 4 3 8832
5 0 3 6883
2 6 3 6313
6 3 3 4067
7 5 3 11677
5 0 3 6522
6 5 3 9274
1 1 3 6572
2 0 3 9953
4 5 3 8992
6 4 3 8147
2 4 3 10346
7 3 3 6661
5 1 3 7501
2 3 3 10191
0 2 3 11004
7 4 3 10204
6 1 3 9784
7 0 3 9508
3 6 3 9207
5 0 3 7218
7 3 3 8410
5 6 3 8203
4 1 3 9174
3 1 3 4079
0 5 3 7430
1 0 3 6411
1 1 3 8780
1 1 3 9898
3 1 3 9359
2 7 3 6320
5 7 3 5574
2 4 3 10047
5 3 3 7108
0 4 3 5468
6 6 3 7536
3 3 3 8246
3 1 3 9638
5 3 3 6643
1 0 3 7221
6 0 3 5700
6 0 3 10555
6 0 3 8320
7 5 3 11156
3 5 3 5796
5 2 3 7754
2 3 3 9221
6 6 3 9193
5 7 3 6544
7 1 3 6024
2 3 3 9260
2 7 3 9610
6 7 3 7671
3 2 3 8026
5 7 3 8939
4 4 3 7234
3 1 3 7089
3 1 3 8576
0 1 3 7421
6 3 3 5984
7 6 3 7306
4 6 3 7772
5 2 3 8854
7 4 3 7405
3 1 3 6654
5 1 3 6264
1 4 3 6785
3 1 3 6714
2 7 3 4285
4 3 3 6378
7 5 3 10898
5 3 3 9031
5 1 3 9366
2 2 3 6840
3 4 3 3572
4 3 3 8143
6 4 3 6640
6 5 3 7695
7 1 3 7460
6 2 3 9153
3 1 3 7872
1 1 3 7816
5 2 3 4939
6 3 3 10738
3 3 3 6184
2 2 3 8689
0 1 3 8111
1 1 3 9037
7 1 3 6567
2 5 3 8450
6 1 3 9306
0 6 3 6453
7 1 3 7725
6 3 3 7845
0 3 3 8030
3 4 3 3479
7 2 3 6580
4 6 3 7089
3 3 3 5201
1 7 3 7509
7 7 3 6682
1 7 3 10421
0 6 3 9169
4 2 3 5674
7 6 3 7353
3 7 3 7537
4 6 3 6012
5 2 3 7478
6 1 3 8797
4 1 3 7777
0 7 3 8348
6 5 3 8294
7 5 3 5371
6 3 3 8218
4 1 3 8485
2 7 3 6922
1 5 3 7994
5 2 3 8847
1 0 3 7996
7 6 3 10580
6 1 3 7918
5 7 3 9482
4 4 3 7323
7 5 3 4655
4 6 3 6483
1 7 3 7483
5 2 3 9084
5 5 3 2855
1 7 3 7842
3 1 3 6920
4 2 3 7695
5 6 3 4962
7 7 3 5005
1 3 3 9370
5 5 3 5497
5 7 3 8922
7 4 3 9854
2 6 3 9838
3 3 3 10073
4 7 3 8394
0 5 3 7534
3 4 3 7939
6 4 3 7943
4 1 3 7896
0 7 3 7262
2 3 3 5920
4 7 3 6613
3 0 3 5923
3 7 3 6357
0 7 3 7463
3 6 3 8521
1 1 3 3533
2 4 3 5954
2 0 3 11688
5 6 3 11119
4 3 3 8943
2 1 3 6309
7 7 3 7976
7 1 3 7948
4 0 3 9066
4 7 3 10411
3 5 3 5812
2 4 3 6406
7 0 3 6891
2 0 3 4626
7 2 3 4568
7 6 3 8818
1 3 3 6038
0 5 3 9677
5 5 3 8769
4 2 3 8296
5 5 3 8910
7 5 3 7316
5 5 3 8213
3 5 3 8231
0 7 3 7695
5 7 3 7066
2 6 3 7081
4 6 3 11341
3 0 3 7522
3 0 3 6455
2 0 3 7283
